#citation
#University of Washington, "IEEE 118-bus system," available at the
#following web site: http://www/wahoo.ee.washington.edu ,
#1996.

#blumsack thesis

# gen info from IIT pmin Pmax, XLcost, Startup = min value*XLcost, MinUp N MinDn from https://al-roomi.org/power-flow/118-bus-system , Hramp=Pmax/minUP, spramp = Hramp/6, StartRamp = Pmax

# Loads the data for the Buses and assigns the columns
param: BUS: bus_num bus_Pd:= 
1 	1 	51   
2 	2 	20  
3 	3 	39  
4 	4 	39   
5 	5 	0 	 
6 	6 	52   
7 	7 	19  
8 	8 	28  
9 	9 	0 	  
10 	10 	0 	  
11 	11 	70   
12 	12 	47   
13 	13 	34  
14 	14 	14 
15 	15 	90 
16 	16 	25  
17 	17 	11 
18 	18 	60  
19 	19 	45 
20 	20 	18  
21 	21 	14   
22 	22 	10   
23 	23 	7 	  
24 	24 	13 
25  25  0 	
26  26  0 	
27  27  71 
28  28  17 
29  29  24 
30  30  0 	
31  31  43 
32  32  59 
33  33  23 
34  34  59 
35  35  33 
36  36  31 
37  37  0 	
38  38  0 	
39  39  27 
40  40  66 
41  41  37 
42  42  96 
43  43  18 
44  44  16 
45  45  53 
46  46  28 
47  47  34 
48  48  20 
49  49  87 
50  50  17 
51  51  17 
52  52  18 
53  53  23 
54  54  113
55  55  63 
56  56  84 
57  57  12 
58  58  12 
59  59  277
60  60  78 
61  61  0 	
62  62  77 
63  63  0 	
64  64  0 	
65  65  0 	
66  66  39 
67  67  28 
68  68  0 	
69  69  0 	
70  70  66 
71  71  0 	
72  72  12 
73  73  6 	
74  74  68 
75  75  47 
76  76  68 
77  77  61 
78  78  71 
79  79  39 
80  80  130
81  81  0 	
82  82  54 
83  83  20 
84  84  11 
85  85  24 
86  86  21 
87  87  0 	
88  88  48 
89  89  0 	
90  90  440
91  91  10 
92  92  65 
93  93  12 
94  94  30 
95  95  42 
96  96  38 
97  97  15 
98  98  34 
99  99  42 
100 100 37 
101 101 22 
102 102 5 	
103 103 23 
104 104 38 
105 105 31 
106 106 43 
107 107 50 
108 108 2 	
109 109 8 	
110 110 39	
111 111 0 	
112 112 68	
113 113 6 	
114 114 8 	
115 115 22	
116 116 18	
117 117 20 
118 118 33 
;

# Loads the data for the GENs and assigns the columns
